source,target,relation_type
阳明病,清热解肌,证治治法包括
阳明病,宣郁透热,证治治法包括
阳明病,清热救燥,证治治法包括
阳明病,养阴润燥,证治治法包括
阳明病,寒降热湿,证治治法包括
阳明病,清气化痰,证治治法包括
阳明病,苦寒折热,证治治法包括
阳明病,苦降辛开,证治治法包括
阳明病,苦寒通降,证治治法包括
阳明病,消积化滞,证治治法包括
阳明病,润燥通降,证治治法包括
阳明病,温壮胃阳,证治治法包括
阳明病,温阳通痹,证治治法包括
柴葛解肌汤,清热解肌,治法
升麻葛根汤,清热解肌,治法
火郁汤,清热解肌,治法
程氏柴葛解肌汤,清热解肌,治法
柴胡升麻汤,清热解肌,治法
栀子豉汤,宣郁透热,治法
栀子甘草豉汤,宣郁透热,治法
栀子生姜豉汤,宣郁透热,治法
枳实栀子豉汤,宣郁透热,治法
桑杏汤,宣郁透热,治法
连朴饮,宣郁透热,治法
栀子厚朴汤,宣郁透热,治法
栀子干姜汤,宣郁透热,治法
白虎汤,清热救燥,治法
白虎加人参汤,清热救燥,治法
白虎加桂枝汤,清热救燥,治法
白虎加苍术汤,清热救燥,治法
竹叶石膏汤,清热救燥,治法
竹皮大丸,清热救燥,治法
玉女煎,清热救燥,治法
化斑汤,清热救燥,治法
《千金》生脉散,养阴润燥,治法
甘草汤,养阴润燥,治法
五味子汤,养阴润燥,治法
麦门冬汤,养阴润燥,治法
沙参麦冬汤,养阴润燥,治法
益胃汤,养阴润燥,治法
清燥救肺汤,养阴润燥,治法
百合固金汤,养阴润燥,治法
清暑益气汤,养阴润燥,治法
三才汤,养阴润燥,治法
阿胶散,养阴润燥,治法
栀子大黄汤,寒降热湿,治法
大黄硝石汤,寒降热湿,治法
茵陈蒿汤,寒降热湿,治法
栀子柏皮汤,寒降热湿,治法
防己饮,寒降热湿,治法
二妙散,寒降热湿,治法
大补丸,寒降热湿,治法
三妙丸,寒降热湿,治法
泻黄散,寒降热湿,治法
黄芩滑石汤,寒降热湿,治法
燃照汤,寒降热湿,治法
蚕矢汤,寒降热湿,治法
泻白散,清气化痰,治法
清气化痰丸,清气化痰,治法
头晕方,清气化痰,治法
竹沥达痰丸,清气化痰,治法
清金化痰汤,清气化痰,治法
瓦粉恬楼丸,清气化痰,治法
三花神佑丸,清气化痰,治法
大黄黄连泻心汤,苦寒折热,治法
附子泻心汤,苦寒折热,治法
黄连解毒汤,苦寒折热,治法
《正宗》黄连解毒汤,苦寒折热,治法
清瘟败毒饮,苦寒折热,治法
普济消毒饮子,苦寒折热,治法
三黄解毒汤,苦寒折热,治法
小陷胸汤半夏泻心汤,苦降辛开,治法
生姜泻心汤,苦降辛开,治法
甘草泻心汤,苦降辛开,治法
黄连汤,苦降辛开,治法
枳实消痞丸,苦降辛开,治法
大承气汤,苦寒通降,治法
小承气汤,苦寒通降,治法
调胃承气汤,苦寒通降,治法
厚朴三物汤,苦寒通降,治法
厚朴大黄汤,苦寒通降,治法
大陷胸汤,苦寒通降,治法
大陷胸丸,苦寒通降,治法
荸艿大枣泻肺汤,苦寒通降,治法
凉膈散,苦寒通降,治法
三一承气汤,苦寒通降,治法
宣白承气汤,苦寒通降,治法
保和丸,消积化滞,治法
枳实导滞丸,消积化滞,治法
木香槟榔丸,消积化滞,治法
大香连丸,消积化滞,治法
快膈消食丸,消积化滞,治法
黄龙汤,润燥通降,治法
增液承气汤,润燥通降,治法
增液汤,润燥通降,治法
麻子仁丸,润燥通降,治法
半硫丸,润燥通降,治法
新加黄龙汤,润燥通降,治法
滋肠五仁丸,润燥通降,治法
快活丸,润燥通降,治法
甘草干姜汤,温壮胃阳,治法
丁香半夏丸,温壮胃阳,治法
半夏干姜散,温壮胃阳,治法
厚朴温中汤,温壮胃阳,治法
人参汤,温壮胃阳,治法
桂枝人参汤,温壮胃阳,治法
二姜丸,温壮胃阳,治法
良附丸,温壮胃阳,治法
温中白术丸,温壮胃阳,治法
恬楼撻白白酒汤,温阳通痹,治法
恬楼撻白半夏汤,温阳通痹,治法
枳实撻白桂枝汤,温阳通痹,治法
薏苡附子散,温阳通痹,治法
苇茎汤,温阳通痹,治法
赤豆薏苡仁汤,温阳通痹,治法
薏苡附子败酱散,温阳通痹,治法
乌头赤石脂丸,温阳通痹,治法
枳实理中丸,温阳通痹,治法
离照汤,温阳通痹,治法
柴葛解肌汤,足阳明胃经受证,主治病症
阳明经病,目疼鼻干,症状
阳明经病,不眠,症状
阳明经病,头疼眼眶痛,症状
阳明经病,脉来微洪,症状
柴葛解肌汤,治法不同,与阳明腑病
柴葛解肌汤,柴胡,方剂组成包含
柴葛解肌汤,葛根,方剂组成包含
柴葛解肌汤,甘草,方剂组成包含
柴葛解肌汤,黄芩,方剂组成包含
柴葛解肌汤,芍药,方剂组成包含
柴葛解肌汤,羌活,方剂组成包含
柴葛解肌汤,白芷,方剂组成包含
柴葛解肌汤,桔梗,方剂组成包含
本经无汗、恶寒甚者,去黄芩，加麻黄,柴葛解肌汤炮制
去黄芩，加麻黄,宜加,冬月
去黄芩，加麻黄,宜少,春
去黄芩，加麻黄,去之加苏叶,夏秋
柴葛解肌汤,陶华,出自
陶华,明代人,是
陶华,以代仲景葛根汤,创制柴葛解肌汤
太阳、阳明合病,太阳病,包括
太阳、阳明合病,阳明病,包括
仲景葛根汤,太阳、阳明合病,主治
太阳阳明合病,邪多在表而热已入里,病症特点
太阳阳明合病,寒多热少,病症特点
柴葛解肌汤,三阳合病,所治病症为
三阳合病,阳明病,包括
三阳合病,太阳病,包括
三阳合病,少阳病,包括
三阳合病,热毒内攻之象,证候
三阳合病,头目疼痛,症状
三阳合病,烦躁,症状
三阳合病,鼻干脉洪,症状
钱潢,清代人,是
钱潢,“舍麻黄、桂枝，则风寒不辨，入柴胡、芍药，则经络无分。”,云
“舍麻黄、桂枝，则风寒不辨，入柴胡、芍药，则经络无分。”,《伤寒溯源集》卷十《附件》,出自
舍麻黄、桂枝,风寒不辨,则
入柴胡、芍药,经络无分,则
费伯雄,清代人,是
费伯雄,“用柴胡开门揖盗，一忌也;……用石膏以伤胃气，二忌也。”,云
“用柴胡开门揖盗，一忌也;……用石膏以伤胃气，二忌也。”,《医方论》卷一《发表之剂》,出自
柴胡,开门揖盗之嫌,有
柴葛解肌汤,用石膏会伤胃气,指出
柴葛解肌汤,表里混淆,存在
柴葛解肌汤,寒热不察,存在
柴葛解肌汤,遣药失度,存在
易老,九味羌活汤,创制
九味羌活汤,风寒外犯、越经为病者,主治
邪气,其他经络,越经而传染
麻黄汤,纯表之证,主治病症
葛根汤,表里之证,主治病症
大青龙,表里之证,主治病症
抱朴子葛根解肌汤,表里之证,主治病症
节庵本方,表里之证,主治病症
白虎汤,纯里之证,主治病症
葛氏方与柴葛解肌汤,“解肌”,均名
葛氏方与柴葛解肌汤,三阳之证,同治
葛氏方,用麻桂,因表闭尚重
柴葛解肌汤,不用麻桂,因表郁轻浅
吴谦,清代人,是
吴谦,“若用之以治三阳合病，表里邪轻者，无不效也。”,云
“若用之以治三阳合病，表里邪轻者，无不效也。”,《医宗金鉴》卷二十八《删补名医方论》,出自
柴葛解肌汤,效果显著,若用于三阳合病
柴葛解肌汤,效果显著,若用于表里邪轻
葛根,君药,在柴葛解肌汤中为
柴胡,君药,在柴葛解肌汤中为
葛根,辛凉,特性为
葛根,外透肌热,功效为
葛根,内清郁热,功效为
柴胡,辛寒,特性为
柴胡,解肌,功效为
柴胡,疏气,功效为
柴胡,助葛根透热,功效为
羌活,臣药,在柴葛解肌汤中为
白芷,臣药,在柴葛解肌汤中为
羌活,辛散,特性为
白芷,辛散,特性为
羌活,发表,功效为
白芷,发表,功效为
羌活,止诸痛,功效为
白芷,止诸痛,功效为
黄芩,臣药,在柴葛解肌汤中为
石膏,臣药,在柴葛解肌汤中为
黄芩,苦寒甘寒,特性为
石膏,苦寒甘寒,特性为
黄芩,清泄里热,功效为
石膏,清泄里热,功效为
葛根,可清透阳明邪热,与石膏配伍
柴胡,可透解少阳邪热,与黄芩配伍
羌活,可发散太阳风寒,与白芷配伍
葛根、柴胡、羌活、白芷、黄芩、石膏配伍,三阳兼治,可实现
葛根、柴胡、羌活、白芷、黄芩、石膏配伍,阳明,可主疗
芍药,佐使药,为
甘草,佐使药,为
芍药,酸甘,特性为
甘草,酸甘,特性为
芍药,护阴,功效为
甘草,护阴,功效为
芍药,和营,功效为
甘草,和营,功效为
桔梗,佐使药,为
桔梗,升,功效为
桔梗,降,功效为
桔梗,导,功效为
桔梗,宣,功效为
桔梗,内外不留余蕴,可使
姜,佐使药,为
枣,佐使药,为
姜,和营卫,功效为
枣,和营卫,功效为
姜,致津液,功效为
枣,致津液,功效为
姜,通表里,功效为
枣,通表里,功效为
姜,邪去正安,可使
枣,邪去正安,可使
柴葛解肌汤,温清并用,全方
柴葛解肌汤,辛凉清热,侧重于
柴葛解肌汤,疏泄透散,偏向于
柴葛解肌汤,恶寒轻,主治
柴葛解肌汤,发热重,主治
柴葛解肌汤,出汗少,主治
柴葛解肌汤,头目痛,主治
柴葛解肌汤,心中烦,主治
柴葛解肌汤,脉浮数,主治
升麻葛根汤,大人时气温疫,主治
升麻葛根汤,小儿时气温疫,主治
时气温疫,头痛,症状
时气温疫,发热,症状
时气温疫,肢体烦疼,症状
升麻葛根汤,疮疹已发或未发之间的疑似阶段,主治
升麻葛根汤,升麻,方剂组成包含
升麻葛根汤,白芍药,方剂组成包含
升麻葛根汤,甘草（炙）,方剂组成包含
升麻葛根汤,葛根,方剂组成包含
升麻葛根汤,上为粗末，每服三钱，用水一盏半，煎取一中盏，去滓，稍热服，不计时候，日二三服，以病气去，身清凉为度,用法为
升麻葛根汤,量力服之,小儿用法
升麻葛根汤,升麻汤,别名是
升麻葛根汤,升麻散,别名是
升麻葛根汤,升麻饮,别名是
升麻葛根汤,平血饮,别名是
升麻葛根汤,解肌汤,别名是
升麻葛根汤,葛根汤,别名是
升麻葛根汤,干葛汤,别名是
升麻葛根汤,阳明表证,用于治疗
仲景,未有明论,对阳明表证
仲景,仲景葛根汤,依据太阳阳明合病制
仲景葛根汤,采用“从阴引阳”法,解表
阳明病,阳明经病,分类为
阳明经病,邪入肌肉经脉,病因
阳明病,阳明腑病,分类为
阳明腑病,邪结胃腑,病因
阳明腑病,邪结大肠,病因
阳明经病,阳明腑病,病位深浅区别于
阳明经病,阳明腑病,津伤多少区别于
薛雪,清代人,是
薛雪,“太阴之表四肢也;阳明之表，肌肉也，胸中也。”,云
“太阴之表四肢也;阳明之表，肌肉也，胸中也。”,《湿热病篇》,出自
太阴经,四肢,表位
阳明经,肌肉,表位
阳明经,胸中,表位
阳明邪热甫郁肌肉，位在阳明之表,阳明表证,故称
孙志宏,明代人,是
孙志宏,“目痛鼻干不眠，身热微畏寒，自汗舌干，脉微洪长，属阳明表证本病。”,云
“目痛鼻干不眠，身热微畏寒，自汗舌干，脉微洪长，属阳明表证本病。”,《简明医毂》卷二《伤寒》,出自
面部通赤色,阳明表证未解,表明
阳明表证未解,不可攻里,治法
阳明表证未解,应解肌,治法
目痛,阳明表证本病症状,属于
鼻干,阳明表证本病症状,属于
不眠,阳明表证本病症状,属于
身热,阳明表证本病症状,属于
微畏寒,阳明表证本病症状,属于
自汗,阳明表证本病症状,属于
舌干,阳明表证本病症状,属于
脉微洪长,阳明表证本病症状,属于
温热初起，邪势未深，经络受伤，毒气上攻,头痛身疼,导致
温热初起，邪势未深，经络受伤，毒气上攻,目痛鼻干,导致
温热初起，邪势未深，经络受伤，毒气上攻,面色通赤,导致
邪郁在肌,身热如灼,导致
虽汗不解,疮疹欲发不出,导致
阳热郁于胸膈,心烦不眠,导致
阳明表证,浮长而数,脉象
浮长而数,阳明之表脉,是
阳明表证在热邪未深、伤阴未重时,通过上外透邪而出,治疗思路是
制升麻葛根汤,通过上外透邪而出,依据
张景岳,明代人,是
太阳证,麻黄汤,用
阳明证,升麻葛根汤,用
齐秉慧,清代人,是
齐秉慧,“升麻葛根汤，即火郁发之也。”,云
“升麻葛根汤，即火郁发之也。”,《齐氏医案》卷一《温病》,出自
升麻葛根汤,火郁发之,是
升麻葛根汤,仲景葛根汤,仿
升麻葛根汤,去姜桂,因恶姜桂辛热
升麻葛根汤,去大枣,因大枣甘壅
升麻葛根汤,代麻黄,用升麻
升麻葛根汤,阳明表剂,成为
升麻葛根汤,太阳表剂,迥别于
葛根,生津去实,功效是
葛根,可托散本经自病之肌热,挟升麻
葛根,可升提大肠腑病之自利,挟升麻
升麻,甘平,特性是
升麻,味薄气厚,特性是
升麻,阳中之阴药,属于
王好古,元代人,是
王好古,“能解肌肉间热，此手足阳明经伤风之的药也。”,云
